longitude,latitude,feature_code,current,contested,cluster_id,segment
37.10426,46.91495,PPL,RU,4,0,Cluster 1
37.005790000000005,46.96865,PPL,RU,4,0,Cluster 1
37.05772,46.97503,PPL,RU,4,0,Cluster 1
37.34539,46.90275,PPL,RU,4,0,Cluster 1
30.5749,50.16488,PPL,UA,11,2,Cluster 3
35.28213,47.44218,PPLA2,RU,3,3,Cluster 4
31.172590000000003,47.38413,PPL,UA,2,3,Cluster 4
29.8,49.96667,PPL,UA,8,2,Cluster 3
35.397659999999995,47.13883,PPL,RU,1,3,Cluster 4
36.44782,47.33133,PPL,RU,1,3,Cluster 4
37.44337,47.43112,PPL,RU,10,0,Cluster 1
38.90657,48.74537,PPL,RU,7,0,Cluster 1
30.99232,47.4179,PPL,UA,2,3,Cluster 4
37.32669,47.49058,PPL,RU,10,0,Cluster 1
31.40045,46.95259,PPL,UA,5,3,Cluster 4
34.76379,50.244240000000005,PPL,CONTESTED,25,1,Cluster 2
32.65915,51.81847,PPL,RU,20,1,Cluster 2
34.37813,50.94786,PPL,CONTESTED,25,1,Cluster 2
29.78394,50.60285,PPL,CONTESTED,21,1,Cluster 2
37.825959999999995,49.88841,PPL,RU,15,0,Cluster 1
37.5552,47.24287,PPL,RU,7,0,Cluster 1
29.531290000000002,49.987840000000006,PPL,UA,1,2,Cluster 3
29.716140000000003,50.89017,PPL,RU,4,2,Cluster 3
31.757409999999997,47.37599,PPL,UA,5,3,Cluster 4
35.01667,50.85,PPL,UA,22,1,Cluster 2
34.35952,50.20987,PPLA2,CONTESTED,25,1,Cluster 2
39.84082,49.18493,PPL,RU,6,0,Cluster 1
34.52629,51.05795,PPL,CONTESTED,25,1,Cluster 2
31.00218,47.687129999999996,PPL,UA,2,3,Cluster 4
36.1,47.28333,PPL,RU,1,3,Cluster 4
36.62579,47.92318,PPL,UA,2,3,Cluster 4
36.288059999999994,47.918690000000005,PPL,UA,11,0,Cluster 1
30.98609,47.74537,PPL,UA,2,3,Cluster 4
35.36448,47.391709999999996,PPL,RU,3,3,Cluster 4
32.2017,47.39373,PPL,UA,5,3,Cluster 4
36.484840000000005,47.31552,PPL,RU,1,3,Cluster 4
31.56918,47.23916,PPL,UA,5,3,Cluster 4
31.311840000000004,47.770070000000004,PPL,UA,2,3,Cluster 4
39.12778,49.38694,PPL,RU,4,0,Cluster 1
36.594879999999996,47.71164,PPL,UA,2,3,Cluster 4
35.44554,47.30878,PPL,RU,1,3,Cluster 4
31.73994,46.95171,PPL,UA,6,3,Cluster 4
36.62249,47.82692,PPL,UA,2,3,Cluster 4
32.65697,46.71717,PPL,RU,4,3,Cluster 4
29.33206,50.24153,PPL,UA,5,2,Cluster 3
31.05436,47.595459999999996,PPL,UA,2,3,Cluster 4
31.89965,51.786559999999994,PPL,CONTESTED,25,1,Cluster 2
36.40915,49.9703,PPL,UA,3,0,Cluster 1
31.14122,50.705870000000004,PPL,RU,5,2,Cluster 3
37.07051,49.15345,PPL,CONTESTED,12,0,Cluster 1
37.59973,47.13701,PPLX,CONTESTED,13,0,Cluster 1
36.32672,47.68249,PPL,CONTESTED,21,0,Cluster 1
37.3251,47.52055,PPL,RU,10,0,Cluster 1
31.335859999999997,47.72286,PPL,UA,2,3,Cluster 4
36.36678,47.269459999999995,PPL,RU,1,3,Cluster 4
31.268340000000002,47.26659,PPL,UA,2,3,Cluster 4
34.02659,51.65676,PPL,CONTESTED,25,1,Cluster 2
37.552859999999995,50.16618,PPL,RU,15,0,Cluster 1
36.6894,49.93826,PPL,UA,18,0,Cluster 1
29.845309999999998,50.91789,PPL,RU,4,2,Cluster 3
36.533120000000004,47.8552,PPL,UA,2,3,Cluster 4
29.32718,50.19307,PPL,UA,1,2,Cluster 3
37.61278,49.8225,PPL,RU,15,0,Cluster 1
37.80809,47.314479999999996,PPL,RU,7,0,Cluster 1
35.62487,47.26699,PPL,RU,1,3,Cluster 4
36.03634,47.06156,PPL,RU,1,3,Cluster 4
34.43528,50.263059999999996,PPL,CONTESTED,25,1,Cluster 2
36.06086,50.13825,PPL,CONTESTED,25,1,Cluster 2
34.23917,50.14,PPL,UA,7,2,Cluster 3
36.16715,47.64855,PPL,CONTESTED,21,0,Cluster 1
36.98315,47.140229999999995,PPL,RU,4,0,Cluster 1
32.53946,51.53927,PPL,CONTESTED,25,1,Cluster 2
32.575829999999996,46.84257,PPL,RU,4,3,Cluster 4
32.81667,46.28333,PPL,RU,7,3,Cluster 4
37.15178,47.49823,PPL,RU,10,0,Cluster 1
32.09552,51.68213,PPL,RU,20,1,Cluster 2
33.28333,51.8,PPL,CONTESTED,25,1,Cluster 2
29.37636,50.40052,PPL,UA,5,2,Cluster 3
37.202259999999995,46.937540000000006,PPL,RU,4,0,Cluster 1
