geonameid,city,longitude,latitude,feature_code,20220227,20220228,20220301,20220302,20220303,20220304,20220305,20220308,20220309,20220310,20220311,20220312,20220313,20220314,20220315,20220316,20220317,20220318,20220319,20220320,20220321,20220322,20220323,20220324,20220325,initial,current,occupy_change,contested
505257.0,Urzuf,37.10426,46.91495,PPL,RU,RU,RU,RU,RU,RU,RU,CONTESTED,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,No,4
519450.0,Berdianske,37.005790000000005,46.96865,PPL,RU,RU,RU,RU,RU,RU,RU,CONTESTED,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,No,4
566487.0,Derevetske,37.05772,46.97503,PPL,RU,RU,RU,RU,RU,RU,RU,CONTESTED,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,No,4
577871.0,Bilosaraiska Kosa,37.34539,46.90275,PPL,UA,UA,UA,UA,UA,UA,UA,CONTESTED,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,Yes,4
616195.0,Stari Bezradychi,30.5749,50.16488,PPL,UA,UA,UA,UA,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,PPL,UA,Yes,11
686729.0,Vasylivka,35.28213,47.44218,PPLA2,UA,UA,UA,UA,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPLA2,RU,Yes,3
686804.0,Zvenyhorodka,31.172590000000003,47.38413,PPL,CONTESTED,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,PPL,UA,Yes,2
686837.0,Zubari,29.8,49.96667,PPL,UA,UA,UA,UA,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,PPL,UA,Yes,8
686840.0,Zrazkove,35.397659999999995,47.13883,PPL,CONTESTED,UA,UA,UA,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,Yes,1
686841.0,Zrazkove,36.44782,47.33133,PPL,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,Yes,1
686914.0,Znamenivka,37.44337,47.43112,PPL,RU,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,No,10
686918.0,Znamianka,38.90657,48.74537,PPL,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,No,7
686924.0,Mostove,30.99232,47.4179,PPL,CONTESTED,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,PPL,UA,Yes,2
686940.0,Zlatoustivka,37.32669,47.49058,PPL,RU,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,No,10
686983.0,Zhurivka,31.40045,46.95259,PPL,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,PPL,UA,Yes,5
686989.0,Zhuravne,34.76379,50.244240000000005,PPL,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,PPL,CONTESTED,No,25
